"var_1";"translate"
"QuanBình Thủy";"Binh Thuy"
"QuanCái Răng";"Cai Rang"
"QuanThốt Nốt";"Thot Not"
"Huyen Cờ Đỏ";"Co Do"
"Huyen Thới Lai";"Thoi Lai"
"Thanh phoVị Thanh";"Vi Thanh"
"Thi xaNgã Bảy";"Nga Bay"
"Huyen Châu Thành A";"Chau Thanh A"
"Huyen Phụng Hiệp";"Phung Hiep"
"Huyen Vị Thủy";"Vi Thuy"
"Huyen Long Mỹ";"Long My"
"Thanh phoTrà Vinh";"Tra Vinh"
"Huyen Càng Long";"Cang Long"
"Huyen Cầu Kè";"Cau Ke"
"Huyen Tiểu Cần";"Tieu Can"
"Huyen Cầu Ngang";"Cau Ngang"
"Huyen Trà Cú";"Tra Cu"
"Huyen Duyên Hải";"Duyen Hai"
"Thanh phoSóc Trăng";"Soc Trang"
"Huyen Kế Sách";"Ke Sach"
"Huyen Long Phú";"Long Phu"
"Huyen Cù Lao Dung";"Cu Lao Dung"
"Huyen Mỹ Tú";"My Tu"
"Huyen Mỹ Xuyên";"My Xuyen"
"Huyen Thạnh Trị";"Thanh Tri"
"Thi xaNgã Năm";"Nga Nam"
"Thi xaVĩnh Châu";"Vinh Chau"
"Huyen Trần Đề";"Tran De"
"Thanh phoBạc Liêu";"Bac Lieu"
"Huyen Phước Long";"Phuoc Long"
"Huyen Hồng Dân";"Hong Dan"
"Huyen Vĩnh Lợi";"Vinh Loi"
"Huyen Hòa Bình";"Hoa Binh"
"Huyen Giá Rai";"Gia Rai"
"Huyen Đông Hải";"Dong Hai"
"Thanh phoCà Mau";"Ca Mau"
"Huyen Thới Bình";"Thoi Binh"
"Huyen U Minh";"U Minh"
"Huyen Trần Văn Thời";"Tran Van Thoi"
"Huyen Cái Nước";"Cai Nuoc"
"Huyen Đầm Dơi";"Dam Doi"
"Huyen Ngọc Hiển";"Ngoc Hien"
"Huyen Năm Căn";"Nam Can"
"Ba Dinh";"Ba Dinh"
"Tay Ho";"Tay Ho"
"Hoan Kiem";"Hoan Kiem"
"Hai Ba Trung";"Hai Ba Trung"
"Hoang Mai";"Hoang Mai"
"Dong Da";"Dong Da"
"Thanh Xuan";"Thanh Xuan"
"Cau Giay";"Cau Giay"
"Long Bien";"Long Bien"
"Soc Son";"Soc Son"
"Dong Anh";"Dong Anh"
"Gia Lam";"Gia Lam"
"Nam Tu Liem";"Nam Tu Liem"
"Thanh Tri";"Thanh Tri"
"Ha Dong";"Ha Dong"
"Son Tay";"Son Tay"
"Ba Vi";"Ba Vi"
"Phuc Tho";"Phuc Tho"
"Dan Phuong";"Dan Phuong"
"Thach That";"Thach That"
"Hoai Duc";"Hoai Duc"
"Quoc Oai";"Quoc Oai"
"Chuong My";"Chuong My"
"Thuong Tin";"Thuong Tin"
"My Duc";"My Duc"
"Ung Hoa";"Ung Hoa"
"Phu Xuyen";"Phu Xuyen"
"Me Linh";"Me Linh"
"Bac Tu Liem";"Bac Tu Liem"
"Hong Bang";"Hong Bang"
"Ngo Quyen";"Ngo Quyen"
"Le Chan";"Le Chan"
"Kien An";"Kien An"
"Do Son";"Do Son"
"Duong Kinh";"Duong Kinh"
"Thuy Nguyen";"Thuy Nguyen"
"An Duong";"An Duong"
"Hai An";"Hai An"
"An Lao";"An Lao"
"Kien Thuy";"Kien Thuy"
"Tien Lang";"Tien Lang"
"Vinh Bao";"Vinh Bao"
"Cat Hai";"Cat Hai"
"Vinh Yen";"Vinh Yen"
"Phuc Yen";"Phuc Yen"
"Lap Thach";"Lap Thach"
"Tam Dao";"Tam Dao"
"Tam Duong";"Tam Duong"
"Binh Xuyen";"Binh Xuyen"
"Vinh Tuong";"Vinh Tuong"
"Yen Lac";"Yen Lac"
"Song Lo";"Song Lo"
"Bac Ninh";"Bac Ninh"
"Yen Phong";"Yen Phong"
"Que Vo";"Que Vo"
"Tien Du";"Tien Du"
"Tu Son";"Tu Son"
"Thuan Thanh";"Thuan Thanh"
"Luong Tai";"Luong Tai"
"Gia Binh";"Gia Binh"
"Hai Duong";"Hai Duong"
"Chi Linh";"Chi Linh"
"Nam Sach";"Nam Sach"
"Thanh Ha";"Thanh Ha"
"Kinh Mon";"Kinh Mon"
"Kim Thanh";"Kim Thanh"
"Gia Loc";"Gia Loc"
"Tu Ky";"Tu Ky"
"Cam Giang";"Cam Giang"
"Binh Giang";"Binh Giang"
"Thanh Mien";"Thanh Mien"
"Hung Yen";"Hung Yen"
"Van Lam";"Van Lam"
"My Hao";"My Hao"
"Yen My";"Yen My"
"Van Giang";"Van Giang"
"Khoai Chau";"Khoai Chau"
"An Thi";"An Thi"
"Kim Dong";"Kim Dong"
"Phu Cu";"Phu Cu"
"Tien Lu";"Tien Lu"
"Phu Ly";"Phu Ly"
"Duy Tien";"Duy Tien"
"Kim Bang";"Kim Bang"
"Ly Nhan";"Ly Nhan"
"Thanh Liem";"Thanh Liem"
"Binh Luc";"Binh Luc"
"Nam Dinh";"Nam Dinh"
"Vu Ban";"Vu Ban"
"My Loc";"My Loc"
"Y Yen";"Y Yen"
"Nam Truc";"Nam Truc"
"Truc Ninh";"Truc Ninh"
"Xuan Truong";"Xuan Truong"
"Giao Thuy";"Giao Thuy"
"Nghia Hung";"Nghia Hung"
"Hai Hau";"Hai Hau"
"Thai Binh";"Thai Binh"
"Quynh Phu";"Quynh Phu"
"Hung Ha";"Hung Ha"
"Thai Thuy";"Thai Thuy"
"Dong Hung";"Dong Hung"
"Vu Thu";"Vu Thu"
"Kien Xuong";"Kien Xuong"
"Tien Hai";"Tien Hai"
"Ninh Binh";"Ninh Binh"
"Tam Diep";"Tam Diep"
"Gia Vien";"Gia Vien"
"Hoa Lu";"Hoa Lu"
"Yen Mo";"Yen Mo"
"Yen Khanh";"Yen Khanh"
"Kim Son";"Kim Son"
"Ha Giang";"Ha Giang"
"Dong Van";"Dong Van"
"Meo Vac";"Meo Vac"
"Yen Minh";"Yen Minh"
"Quan Ba";"Quan Ba"
"Bac Me";"Bac Me"
"Hoang Su Phi";"Hoang Su Phi"
"Vi Xuyen";"Vi Xuyen"
"Xin Man";"Xin Man"
"Bac Quang";"Bac Quang"
"Quang Binh";"Quang Binh"
"Cao Bang";"Cao Bang"
"Bao Lac";"Bao Lac"
"Bao Lam";"Bao Lam"
"Ha Quang";"Ha Quang"
"Thong Nong";"Thong Nong"
"Tra Linh";"Tra Linh"
"Trung Khanh";"Trung Khanh"
"Nguyen Binh";"Nguyen Binh"
"Hoa An";"Hoa An"
"Quang Uyen";"Quang Uyen"
"Phuc Hoa";"Phuc Hoa"
"Ha Lang";"Ha Lang"
"Thach An";"Thach An"
"Lao Cai";"Lao Cai"
"Muong Khuong";"Muong Khuong"
"Bat Xat";"Bat Xat"
"Bac Ha";"Bac Ha"
"Bao Thang";"Bao Thang"
"Bao Yen";"Bao Yen"
"Van Ban";"Van Ban"
"Bac Kan";"Bac Kan"
"Ba Be";"Ba Be"
"Pac Nam";"Pac Nam"
"Ngan Son";"Ngan Son"
"Cho Don";"Cho Don"
"Na Ri";"Na Ri"
"Bach Thong";"Bach Thong"
"Cho Moi";"Cho Moi"
"Lang Son";"Lang Son"
"Trang Dinh";"Trang Dinh"
"Van Lang";"Van Lang"
"Binh Gia";"Binh Gia"
"Bac Son";"Bac Son"
"Van Quan";"Van Quan"
"Cao Loc";"Cao Loc"
"Loc Binh";"Loc Binh"
"Chi Lang";"Chi Lang"
"Dinh Lap";"Dinh Lap"
"Huu Lung";"Huu Lung"
"Tuyen Quang";"Tuyen Quang"
"Chiem Hoa";"Chiem Hoa"
"Ham Yen";"Ham Yen"
"Yen Son";"Yen Son"
"Son Duong";"Son Duong"
"Lam Binh";"Lam Binh"
"Yen Bai";"Yen Bai"
"Nghia Lo";"Nghia Lo"
"Luc Yen";"Luc Yen"
"Van Yen";"Van Yen"
"Mu Cang Chai";"Mu Cang Chai"
"Tran Yen";"Tran Yen"
"Yen Binh";"Yen Binh"
"Van Chan";"Van Chan"
"Tram Tau";"Tram Tau"
"Thai Nguyen";"Thai Nguyen"
"Song Cong";"Song Cong"
"Dinh Hoa";"Dinh Hoa"
"Vo Nhai";"Vo Nhai"
"Phu Luong";"Phu Luong"
"Dong Hy";"Dong Hy"
"Dai Tu";"Dai Tu"
"Phu Binh";"Phu Binh"
"Pho Yen";"Pho Yen"
"Viet Tri";"Viet Tri"
"Phu Tho";"Phu Tho"
"Doan Hung";"Doan Hung"
"Ha Hoa";"Ha Hoa"
"Phu Ninh";"Phu Ninh"
"Lam Thao";"Lam Thao"
"Cam Khe";"Cam Khe"
"Yen Lap";"Yen Lap"
"Tam Nong";"Tam Nong"
"Thanh Thuy";"Thanh Thuy"
"Thanh Son";"Thanh Son"
"Tan Son";"Tan Son"
"Bac Giang";"Bac Giang"
"Yen The";"Yen The"
"Tan Yen";"Tan Yen"
"Luc Ngan";"Luc Ngan"
"Hiep Hoa";"Hiep Hoa"
"Lang Giang";"Lang Giang"
"Son Dong";"Son Dong"
"Luc Nam";"Luc Nam"
"Viet Yen";"Viet Yen"
"Yen Dung";"Yen Dung"
"Ha Long";"Ha Long"
"Cam Pha";"Cam Pha"
"Uong Bi";"Uong Bi"
"Mong Cai";"Mong Cai"
"Binh Lieu";"Binh Lieu"
"Hai Ha";"Hai Ha"
"Dam Ha";"Dam Ha"
"Tien Yen";"Tien Yen"
"Ba Che";"Ba Che"
"Van Don";"Van Don"
"Hoanh Bo";"Hoanh Bo"
"Dong Trieu";"Dong Trieu"
"Co To";"Co To"
"Quang Yen";"Quang Yen"
"Nam Nhun";"Nam Nhun"
"Lai Chau";"Lai Chau"
"Muong Te";"Muong Te"
"Phong Tho";"Phong Tho"
"Sin Ho";"Sin Ho"
"Than Uyen";"Than Uyen"
"Tan Uyen";"Tan Uyen"
"Dien Bien Phu";"Dien Bien Phu"
"Nam Po";"Nam Po"
"Muong Lay";"Muong Lay"
"Muong Nhe";"Muong Nhe"
"Muong Cha";"Muong Cha"
"Tua Chua";"Tua Chua"
"Tuan Giao";"Tuan Giao"
"Muong Ang";"Muong Ang"
"Dien Bien";"Dien Bien"
"Dien Bien Dong";"Dien Bien Dong"
"Son La";"Son La"
"Quynh Nhai";"Quynh Nhai"
"Muong La";"Muong La"
"Thuan Chau";"Thuan Chau"
"Bac Yen";"Bac Yen"
"Phu Yen";"Phu Yen"
"Mai Son";"Mai Son"
"Song Ma";"Song Ma"
"Sop Cop";"Sop Cop"
"Yen Chau";"Yen Chau"
"Moc Chau";"Moc Chau"
"Van Ho";"Van Ho"
"Hoa Binh";"Hoa Binh"
"Da Bac";"Da Bac"
"Mai Chau";"Mai Chau"
"Ky Son";"Ky Son"
"Luong Son";"Luong Son"
"Kim Boi";"Kim Boi"
"Lac Thuy";"Lac Thuy"
"Tan Lac";"Tan Lac"
"Lac Son";"Lac Son"
"Yen Thuy";"Yen Thuy"
"Thanh Hoa";"Thanh Hoa"
"Bim Son";"Bim Son"
"Sam Son";"Sam Son"
"Muong Lat";"Muong Lat"
"Quan Hoa";"Quan Hoa"
"Quan Son";"Quan Son"
"Ba Thuoc";"Ba Thuoc"
"Cam Thuy";"Cam Thuy"
"Lang Chanh";"Lang Chanh"
"Thach Thanh";"Thach Thanh"
"Ngoc Lac";"Ngoc Lac"
"Thuong Xuan";"Thuong Xuan"
"Nhu Xuan";"Nhu Xuan"
"Nhu Thanh";"Nhu Thanh"
"Vinh Loc";"Vinh Loc"
"Ha Trung";"Ha Trung"
"Nga Son";"Nga Son"
"Yen Dinh";"Yen Dinh"
"Tho Xuan";"Tho Xuan"
"Hau Loc";"Hau Loc"
"Thieu Hoa";"Thieu Hoa"
"Hoang Hoa";"Hoang Hoa"
"Dong Son";"Dong Son"
"Trieu Son";"Trieu Son"
"Quang Xuong";"Quang Xuong"
"Nong Cong";"Nong Cong"
"Tinh Gia";"Tinh Gia"
"Cua Lo";"Cua Lo"
"Que Phong";"Que Phong"
"Quy Chau";"Quy Chau"
"Quy Hop";"Quy Hop"
"Nghia Dan";"Nghia Dan"
"Thai Hoa";"Thai Hoa"
"Tuong Duong";"Tuong Duong"
"Quynh Luu";"Quynh Luu"
"Tan Ky";"Tan Ky"
"Con Cuong";"Con Cuong"
"Yen Thanh";"Yen Thanh"
"Dien Chau";"Dien Chau"
"Anh Son";"Anh Son"
"Do Luong";"Do Luong"
"Thanh Chuong";"Thanh Chuong"
"Nghi Loc";"Nghi Loc"
"Nam Dan";"Nam Dan"
"Hung Nguyen";"Hung Nguyen"
"Ha Tinh";"Ha Tinh"
"Hong Linh";"Hong Linh"
"Nghi Xuan";"Nghi Xuan"
"Duc Tho";"Duc Tho"
"Huong Son";"Huong Son"
"Vu Quang";"Vu Quang"
"Can Loc";"Can Loc"
"Loc Ha";"Loc Ha"
"Thach Ha";"Thach Ha"
"Cam Xuyen";"Cam Xuyen"
"Huong Khe";"Huong Khe"
"Ky Anh";"Ky Anh"
"Dong Hoi";"Dong Hoi"
"Tuyen Hoa";"Tuyen Hoa"
"Minh Hoa";"Minh Hoa"
"Ba Don";"Ba Don"
"Quang Trach";"Quang Trach"
"Bo Trach";"Bo Trach"
"Quang Ninh";"Quang Ninh"
"Le Thuy";"Le Thuy"
"Dong Ha";"Dong Ha"
"Quang Tri";"Quang Tri"
"Vinh Linh";"Vinh Linh"
"Cam Lo";"Cam Lo"
"Trieu Phong";"Trieu Phong"
"Hai Lang";"Hai Lang"
"Huong Hoa";"Huong Hoa"
"Da Krong";"Da Krong"
"Hue";"Hue"
"Phong Dien";"Phong Dien"
"Quang Dien";"Quang Dien"
"Huong Tra";"Huong Tra"
"Phu Vang";"Phu Vang"
"Huong Thuy";"Huong Thuy"
"Phu Loc";"Phu Loc"
"A Luoi";"A Luoi"
"Nam Dong";"Nam Dong"
"Hai Chau";"Hai Chau"
"Thanh Khe";"Thanh Khe"
"Son Tra";"Son Tra"
"Ngu Hanh Son";"Ngu Hanh Son"
"Lien Chieu";"Lien Chieu"
"Hoa Vang";"Hoa Vang"
"Cam Le";"Cam Le"
"Tam Ky";"Tam Ky"
"Hoi An";"Hoi An"
"Tay Giang";"Tay Giang"
"Dong Giang";"Dong Giang"
"Dai Loc";"Dai Loc"
"Dien Ban";"Dien Ban"
"Duy Xuyen";"Duy Xuyen"
"Thang Binh";"Thang Binh"
"Que Son";"Que Son"
"Nong Son";"Nong Son"
"Hiep Duc";"Hiep Duc"
"Tien Phuoc";"Tien Phuoc"
"Phuoc Son";"Phuoc Son"
"Nui Thanh";"Nui Thanh"
"Bac Tra My";"Bac Tra My"
"Nam Tra My";"Nam Tra My"
"Quang Ngai";"Quang Ngai"
"Ly Son";"Ly Son"
"Binh Son";"Binh Son"
"Tra Bong";"Tra Bong"
"Tay Tra";"Tay Tra"
"Son Tinh";"Son Tinh"
"Son Ha";"Son Ha"
"Tu Nghia";"Tu Nghia"
"Nghia Hanh";"Nghia Hanh"
"Mo Duc";"Mo Duc"
"Duc Pho";"Duc Pho"
"Ba To";"Ba To"
"Quy Nhon";"Quy Nhon"
"Hoai Nhon";"Hoai Nhon"
"Hoai An";"Hoai An"
"Phu My";"Phu My"
"Vinh Thanh";"Vinh Thanh"
"Phu Cat";"Phu Cat"
"Tay Son";"Tay Son"
"An Nhon";"An Nhon"
"Tuy Phuoc";"Tuy Phuoc"
"Van Canh";"Van Canh"
"Tuy Hoa";"Tuy Hoa"
"Dong Xuan";"Dong Xuan"
"Song Cau";"Song Cau"
"Son Hoa";"Son Hoa"
"Phu Hoa";"Phu Hoa"
"Tay Hoa";"Tay Hoa"
"Dong Hoa";"Dong Hoa"
"Song Hinh";"Song Hinh"
"Van Ninh";"Van Ninh"
"Ninh Hoa";"Ninh Hoa"
"Dien Khanh";"Dien Khanh"
"Cam Lam";"Cam Lam"
"Khanh Vinh";"Khanh Vinh"
"Khanh Son";"Khanh Son"
"Dak Glei";"Dak Glei"
"Ngoc Hoi";"Ngoc Hoi"
"Dak To";"Dak To"
"Kon Ray";"Kon Ray"
"Kon Plong";"Kon Plong"
"Dak Ha";"Dak Ha"
"Sa Thay";"Sa Thay"
"Tu Mo Rong";"Tu Mo Rong"
"Dak Doa";"Dak Doa"
"Chu Pah";"Chu Pah"
"An Khe";"An Khe"
"Dak Po";"Dak Po"
"Kong Chro";"Kong Chro"
"Duc Co";"Duc Co"
"Chu Prong";"Chu Prong"
"Chu Se";"Chu Se"
"Krong Pa";"Krong Pa"
"Phu Thien";"Phu Thien"
"Chu Puh";"Chu Puh"
"Buon Ma Thuot";"Buon Ma Thuot"
"Buon Ho";"Buon Ho"
"Ea Sup";"Ea Sup"
"Krong Nang";"Krong Nang"
"Krong Buk";"Krong Buk"
"Buon Don";"Buon Don"
"Cu M'gar";"Cu M'gar"
"M'Drak";"M'Drak"
"Krong Pac";"Krong Pac"
"Krong A Na";"Krong A Na"
"Cu Kuin";"Cu Kuin"
"Krong Bong";"Krong Bong"
"Lak";"Lak"
"Gia Nghia";"Gia Nghia"
"Cu Jut";"Cu Jut"
"Dak Mil";"Dak Mil"
"Krong No";"Krong No"
"Dak Song";"Dak Song"
"Dak R'Lap";"Dak R'Lap"
"Tuy Duc";"Tuy Duc"
"Dak Glong";"Dak Glong"
"Da Lat";"Da Lat"
"Bao Loc";"Bao Loc"
"Lac Duong";"Lac Duong"
"Don Duong";"Don Duong"
"Duc Trong";"Duc Trong"
"Lam Ha";"Lam Ha"
"Da Huoai";"Da Huoai"
"Da Teh";"Da Teh"
"Cat Tien";"Cat Tien"
"Dam Rong";"Dam Rong"
"Quan 1";"Quan 1"
"Quan 2";"Quan 2"
"Quan 3";"Quan 3"
"Quan 4";"Quan 4"
"Quan 5";"Quan 5"
"Quan 6";"Quan 6"
"Quan 7";"Quan 7"
"Quan 8";"Quan 8"
"Quan 9";"Quan 9"
"Quan 10";"Quan 10"
"Quan 11";"Quan 11"
"Quan 12";"Quan 12"
"Go Vap";"Go Vap"
"Tan Binh";"Tan Binh"
"Tan Phu";"Tan Phu"
"Binh Thanh";"Binh Thanh"
"Phu Nhuan";"Phu Nhuan"
"Thu Duc";"Thu Duc"
"Cu Chi";"Cu Chi"
"Hoc Mon";"Hoc Mon"
"Binh Chanh";"Binh Chanh"
"Binh Tan";"Binh Tan"
"Nha Be";"Nha Be"
"Can Gio";"Can Gio"
"Phan Rang-Thap Cham";"Phan Rang-Thap Cham"
"Ninh Son";"Ninh Son"
"Bac Ai";"Bac Ai"
"Ninh Hai";"Ninh Hai"
"Thuan Bac";"Thuan Bac"
"Ninh Phuoc";"Ninh Phuoc"
"Thuan Nam";"Thuan Nam"
"Dong Xoai";"Dong Xoai"
"Dong Phu";"Dong Phu"
"Phuoc Long";"Phuoc Long"
"Loc Ninh";"Loc Ninh"
"Bu Dop";"Bu Dop"
"Bu Dang";"Bu Dang"
"Chon Thanh";"Chon Thanh"
"Binh Long";"Binh Long"
"Hon Quan";"Hon Quan"
"Bu Gia Map";"Bu Gia Map"
"Tay Ninh";"Tay Ninh"
"Tan Bien";"Tan Bien"
"Tan Chau";"Tan Chau"
"Duong Minh Chau";"Duong Minh Chau"
"Chau Thanh";"Chau Thanh"
"Hoa Thanh";"Hoa Thanh"
"Ben Cau";"Ben Cau"
"Go Dau";"Go Dau"
"Trang Bang";"Trang Bang"
"Thu Dau Mot";"Thu Dau Mot"
"Dau Tieng";"Dau Tieng"
"Ben Cat";"Ben Cat"
"Phu Giao";"Phu Giao"
"Thuan An";"Thuan An"
"Di An";"Di An"
"Bac Tan Uyen";"Bac Tan Uyen"
"Bau Bang";"Bau Bang"
"Bien Hoa";"Bien Hoa"
"Dinh Quan";"Dinh Quan"
"Vinh Cuu";"Vinh Cuu"
"Thong Nhat";"Thong Nhat"
"Trang Bom";"Trang Bom"
"Long Khanh";"Long Khanh"
"Cam My";"Cam My"
"Xuan Loc";"Xuan Loc"
"Long Thanh";"Long Thanh"
"Nhon Trach";"Nhon Trach"
"Phan Thiet";"Phan Thiet"
"Bac Binh";"Bac Binh"
"Ham Thuan Bac";"Ham Thuan Bac"
"Ham Thuan Nam";"Ham Thuan Nam"
"Tanh Linh";"Tanh Linh"
"Ham Tan";"Ham Tan"
"Duc Linh";"Duc Linh"
"Phu Quy";"Phu Quy"
"Vung Tau";"Vung Tau"
"Ba Ria";"Ba Ria"
"Chau Duc";"Chau Duc"
"Xuyen Moc";"Xuyen Moc"
"Tan Thanh";"Tan Thanh"
"Dat Do";"Dat Do"
"Long Dien";"Long Dien"
"Tan An";"Tan An"
"Tan Hung";"Tan Hung"
"Vinh Hung";"Vinh Hung"
"Moc Hoa";"Moc Hoa"
"Duc Hue";"Duc Hue"
"Duc Hoa";"Duc Hoa"
"Ben Luc";"Ben Luc"
"Thu Thua";"Thu Thua"
"Tan Tru";"Tan Tru"
"Can Duoc";"Can Duoc"
"Can Giuoc";"Can Giuoc"
"Kien Tuong";"Kien Tuong"
"Cao Lanh";"Cao Lanh"
"Sa Dec";"Sa Dec"
"Tan Hong";"Tan Hong"
"Hong Ngu";"Hong Ngu"
"Thanh Binh";"Thanh Binh"
"Thap Muoi";"Thap Muoi"
"Lap Vo";"Lap Vo"
"Long Xuyen";"Long Xuyen"
"Chau Doc";"Chau Doc"
"An Phu";"An Phu"
"Phu Tan";"Phu Tan"
"Chau Phu";"Chau Phu"
"Tinh Bien";"Tinh Bien"
"Tri Ton";"Tri Ton"
"Thoai Son";"Thoai Son"
"My Tho";"My Tho"
"Go Cong";"Go Cong"
"Tan Phuoc";"Tan Phuoc"
"Cai Lay";"Cai Lay"
"Cho Gao";"Cho Gao"
"Cai Be";"Cai Be"
"Go Cong Tay";"Go Cong Tay"
"Go Cong Dong";"Go Cong Dong"
"Tan Phu Dong";"Tan Phu Dong"
"Vinh Long";"Vinh Long"
"Long Ho";"Long Ho"
"Mang Thit";"Mang Thit"
"Binh Minh";"Binh Minh"
"Tam Binh";"Tam Binh"
"Tra On";"Tra On"
"Vung Liem";"Vung Liem"
"Ben Tre";"Ben Tre"
"Mo Cay Nam";"Mo Cay Nam"
"Cho Lach";"Cho Lach"
"Mo Cay Bac";"Mo Cay Bac"
"Giong Trom";"Giong Trom"
"Binh Dai";"Binh Dai"
"Thanh Phu";"Thanh Phu"
"Rach Gia";"Rach Gia"
"Ha Tien";"Ha Tien"
"Kien Luong";"Kien Luong"
"Hon Dat";"Hon Dat"
"Tan Hiep";"Tan Hiep"
"Giong Rieng";"Giong Rieng"
"Go Quao";"Go Quao"
"An Bien";"An Bien"
"Vinh Thuan";"Vinh Thuan"
"Phu Quoc";"Phu Quoc"
"Kien Hai";"Kien Hai"
"U Minh Thuong";"U Minh Thuong"
"Giang Thanh";"Giang Thanh"
"Ninh Kieu";"Ninh Kieu"
"O Mon";"O Mon"
"Binh Thuy";"Binh Thuy"
"Cai Rang";"Cai Rang"
"Thot Not";"Thot Not"
"Co Do";"Co Do"
"Thoi Lai";"Thoi Lai"
"Vi Thanh";"Vi Thanh"
"Nga Bay";"Nga Bay"
"Chau Thanh A";"Chau Thanh A"
"Phung Hiep";"Phung Hiep"
"Vi Thuy";"Vi Thuy"
"Long My";"Long My"
"Tra Vinh";"Tra Vinh"
"Cang Long";"Cang Long"
"Cau Ke";"Cau Ke"
"Tieu Can";"Tieu Can"
"Cau Ngang";"Cau Ngang"
"Tra Cu";"Tra Cu"
"Duyen Hai";"Duyen Hai"
"Soc Trang";"Soc Trang"
"Ke Sach";"Ke Sach"
"Long Phu";"Long Phu"
"Cu Lao Dung";"Cu Lao Dung"
"My Tu";"My Tu"
"My Xuyen";"My Xuyen"
"Nga Nam";"Nga Nam"
"Vinh Chau";"Vinh Chau"
"Tran De";"Tran De"
"Bac Lieu";"Bac Lieu"
"Hong Dan";"Hong Dan"
"Vinh Loi";"Vinh Loi"
"Gia Rai";"Gia Rai"
"Dong Hai";"Dong Hai"
"Ca Mau";"Ca Mau"
"Thoi Binh";"Thoi Binh"
"Tran Van Thoi";"Tran Van Thoi"
"Cai Nuoc";"Cai Nuoc"
"Dam Doi";"Dam Doi"
"Ngoc Hien";"Ngoc Hien"
"Nam Can";"Nam Can"
"BaDinh";"Ba Dinh"
"TayHo";"Tay Ho"
"HoanKiem";"Hoan Kiem"
"HaiBaTrung";"Hai Ba Trung"
"HoangMai";"Hoang Mai"
"DongDa";"Dong Da"
"ThanhXuan";"Thanh Xuan"
"CauGiay";"Cau Giay"
"LongBien";"Long Bien"
"SocSon";"Soc Son"
"DongAnh";"Dong Anh"
"GiaLam";"Gia Lam"
"NamTuLiem";"Nam Tu Liem"
"ThanhTri";"Thanh Tri"
"HaDong";"Ha Dong"
"SonTay";"Son Tay"
"BaVi";"Ba Vi"
"PhucTho";"Phuc Tho"
"DanPhuong";"Dan Phuong"
"ThachThat";"Thach That"
"HoaiDuc";"Hoai Duc"
"QuocOai";"Quoc Oai"
"ChuongMy";"Chuong My"
"ThanhOai";"Thanh Oai"
"ThuongTin";"Thuong Tin"
"MyDuc";"My Duc"
"UngHoa";"Ung Hoa"
"PhuXuyen";"Phu Xuyen"
"MeLinh";"Me Linh"
"BacTuLiem";"Bac Tu Liem"
"HongBang";"Hong Bang"
"NgoQuyen";"Ngo Quyen"
"LeChan";"Le Chan"
"KienAn";"Kien An"
"DoSon";"Do Son"
"DuongKinh";"Duong Kinh"
"ThuyNguyen";"Thuy Nguyen"
"AnDuong";"An Duong"
"HaiAn";"Hai An"
"AnLao";"An Lao"
"KienThuy";"Kien Thuy"
"TienLang";"Tien Lang"
"VinhBao";"Vinh Bao"
"CatHai";"Cat Hai"
"VinhYen";"Vinh Yen"
"PhucYen";"Phuc Yen"
"LapThach";"Lap Thach"
"TamDao";"Tam Dao"
"TamDuong";"Tam Duong"
"BinhXuyen";"Binh Xuyen"
"VinhTuong";"Vinh Tuong"
"YenLac";"Yen Lac"
"SongLo";"Song Lo"
"BacNinh";"Bac Ninh"
"YenPhong";"Yen Phong"
"QueVo";"Que Vo"
"TienDu";"Tien Du"
"TuSon";"Tu Son"
"ThuanThanh";"Thuan Thanh"
"LuongTai";"Luong Tai"
"GiaBinh";"Gia Binh"
"HaiDuong";"Hai Duong"
"ChiLinh";"Chi Linh"
"NamSach";"Nam Sach"
"ThanhHa";"Thanh Ha"
"KinhMon";"Kinh Mon"
"KimThanh";"Kim Thanh"
"GiaLoc";"Gia Loc"
"TuKy";"Tu Ky"
"CamGiang";"Cam Giang"
"BinhGiang";"Binh Giang"
"ThanhMien";"Thanh Mien"
"NinhGiang";"Ninh Giang"
"HungYen";"Hung Yen"
"VanLam";"Van Lam"
"MyHao";"My Hao"
"YenMy";"Yen My"
"VanGiang";"Van Giang"
"KhoaiChau";"Khoai Chau"
"AnThi";"An Thi"
"KimDong";"Kim Dong"
"PhuCu";"Phu Cu"
"TienLu";"Tien Lu"
"PhuLy";"Phu Ly"
"DuyTien";"Duy Tien"
"KimBang";"Kim Bang"
"LyNhan";"Ly Nhan"
"ThanhLiem";"Thanh Liem"
"BinhLuc";"Binh Luc"
"NamDinh";"Nam Dinh"
"VuBan";"Vu Ban"
"MyLoc";"My Loc"
"YYen";"Y Yen"
"NamTruc";"Nam Truc"
"TrucNinh";"Truc Ninh"
"XuanTruong";"Xuan Truong"
"GiaoThuy";"Giao Thuy"
"NghiaHung";"Nghia Hung"
"HaiHau";"Hai Hau"
"ThaiBinh";"Thai Binh"
"QuynhPhu";"Quynh Phu"
"HungHa";"Hung Ha"
"ThaiThuy";"Thai Thuy"
"DongHung";"Dong Hung"
"VuThu";"Vu Thu"
"KienXuong";"Kien Xuong"
"TienHai";"Tien Hai"
"NinhBinh";"Ninh Binh"
"TamDiep";"Tam Diep"
"NhoQuan";"Nho Quan"
"GiaVien";"Gia Vien"
"HoaLu";"Hoa Lu"
"YenMo";"Yen Mo"
